NOM_SCIENTIFIQUE;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Lumière;Texture;Matière_organique;Température;Continentalité;Niveau_trophique;Salinité
Abies alba Mill. ;7;5;5;7;2;5;3;7;6;0
Abies cephalonica Loudon;4;4;6;8;3;3;7;4;5;0
Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;5;5;4;7;3;3;4;5;5;0
Abies grandis (Douglas ex D.Don) Lindl.;6;5;4;7;3;5;4;5;5;0
Abies nordmanniana (Steven) Spach;6;5;4;7;3;5;4;5;5;0
Abies numidica Lannoy ex Carrière;5;5;5;7;4;4;3;4;5;0
Abies pinsapo Boiss.;4;4;7;8;3;3;7;5;4;0
Abutilon theophrasti Medik.;4;4;8;8;3;2;7;3;6;0
Acacia baileyana F.Muell.;3;4;6;8;4;3;8;4;5;0
Acacia dealbata Link;3;4;6;8;4;3;8;4;5;0
Acacia longifolia (Andrews) Willd.;3;4;6;8;4;3;8;4;5;0
Acacia mearnsii De Wild.;3;4;6;8;4;3;8;4;5;0
Acacia melanoxylon R.Br.;3;4;6;8;4;3;8;4;5;0
Acacia pycnantha Benth.;3;4;6;8;4;3;8;4;5;0
Acacia retinodes Schltdl.;3;4;6;8;4;3;8;4;5;0
Acacia saligna (Labill.) H.L.Wendl.;3;4;6;8;4;3;8;4;5;0
Acanthoprasium frutescens (L.) Spenn.;6;5;8;4;8;1;5;6;4;0
Acanthus mollis L. ;3;4;8;7;3;2;8;3;8;0
Acer campestre L.;4;5;7;8;3;3;6;5;5;0
Acer cappadocicum Gled.;7;7;6;7;3;3;5;5;6;0
Acer monspessulanum L.;4;4;7;8;2;3;8;3;5;0
Acer negundo L.;7;7;7;8;2;8;6;6;7;0
Acer negundo L. subsp. negundo;7;7;7;8;2;8;6;6;7;0
Acer opalus Mill. ;6;4;7;7;3;2;7;4;5;0
Acer opalus Mill. subsp. opalus;6;4;7;7;3;2;7;4;5;0
Acer opalus subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams;4;4;7;8;2;2;8;4;4;0
Acer platanoides L. ;7;5;5;7;2;3;5;5;6;0
Acer platanoides L. subsp. platanoides;7;5;5;7;2;3;5;5;6;0
Acer pseudoplatanus L.;6;5;5;7;3;3;5;5;7;0
Acer saccharinum L.;5;5;5;7;3;3;5;4;5;0
Achillea ageratum L.;7;7;6;8;3;8;8;3;6;0
Achillea atrata L.;5;5;8;7;7;1;2;7;3;0
Achillea chamaemelifolia Pourr.;5;5;3;7;5;1;2;3;4;0
Achillea collina (Becker ex Rchb.) Heimerl;3;4;7;8;3;2;6;6;3;0
Achillea crithmifolia Waldst. & Kit.;5;5;6;6;3;3;6;4;6;0
Achillea distans subsp. stricta (Schleich. ex W.D.J.Koch) Janch.;7;5;5;8;3;3;3;7;5;0
Achillea distans subsp. tanacetifolia (All.) Janch.;7;5;5;8;3;3;3;7;5;0
Achillea distans Waldst. & Kit. ex Willd.;7;5;5;7;3;3;3;6;5;0
Achillea distans Waldst. & Kit. ex Willd. subsp. distans;7;5;5;7;3;3;3;6;5;0
Achillea erba-rotta All.;5;5;3;8;6;1;1;8;2;0
Achillea erba-rotta All. subsp. erba-rotta;5;5;3;8;6;1;1;8;2;0
Achillea erba-rotta subsp. moschata (Wulfen) Vacc.;5;5;3;8;6;1;2;8;2;0
Achillea filipendulina Lam.;4;4;8;8;3;2;6;5;7;0
Achillea ligustica All.;4;5;7;8;3;2;8;4;5;0
Achillea macrophylla L.;7;6;6;7;2;8;2;7;7;0
Achillea maritima (L.) Ehrend. & Y.P.Guo;5;4;7;9;5;1;7;1;5;3
Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima;4;5;7;9;5;1;8;1;5;3
Achillea maritima subsp. atlantica (Chrtek & B.Slavík) Ehrend. & Y.P.Guo;4;5;7;9;5;1;5;1;5;3
Achillea millefolium L.;4;5;5;8;4;4;5;5;4;1
Achillea millefolium L. subsp. millefolium;4;5;5;8;4;4;5;5;4;1
Achillea millefolium subsp. sudetica (Opiz) Oborny;5;5;4;7;3;7;2;4;4;0
Achillea nana L.;6;6;3;8;6;1;1;7;2;0
Achillea nobilis L. ;4;4;8;8;3;2;5;7;2;0
Achillea nobilis L. subsp. nobilis;4;4;8;8;3;2;5;7;2;0
Achillea odorata L.;3;3;8;8;7;2;7;3;2;0
Achillea ptarmica L.;8;7;4;8;1;8;5;5;4;0
Achillea ptarmica L. subsp. ptarmica ;8;7;4;8;1;8;5;5;4;0
Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.) Heimerl;8;8;3;8;1;9;3;3;3;0
Achillea roseo-alba Ehrend.;5;6;8;8;3;2;5;6;3;0
Achillea tomentosa L.;4;4;8;8;3;2;5;7;3;0
Achnatherum bromoides (L.) P.Beauv.;2;3;9;9;3;2;8;3;2;0
Achnatherum calamagrostis (L.) P.Beauv.;3;3;8;9;2;1;5;5;2;0
Acis fabrei (Quézel & Girerd) Lledo, A.P.Davis & M.B.Crespo;4;4;7;8;2;2;8;3;3;0
Acis longifolia J.Gay ex M.Roem.;5;5;4;8;3;4;8;3;4;0
Acis nicaeensis (Ardoino) Lledo, A.P.Davis & M.B.Crespo;4;4;7;8;2;2;8;2;3;0
Acis rosea (F.Martin) Sweet;5;3;7;9;5;2;9;1;4;1
Aconitum anthora L.;6;6;8;7;2;2;3;3;5;0
Aconitum lycoctonum L. ;8;7;7;5;1;8;3;5;7;0
Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman;8;6;6;7;1;8;3;6;7;0
Aconitum lycoctonum subsp. vulparia (Rchb.) Ces.;8;7;7;5;1;8;2;6;7;0
Aconitum napellus L. ;8;7;8;6;1;8;5;6;6;0
Aconitum napellus L. subsp. napellus;8;7;8;6;1;8;5;6;6;0
Aconitum napellus subsp. burnatii (Gáyer) J.M.Tison;8;7;7;5;1;8;2;6;7;0
Aconitum napellus subsp. corsicum (Gáyer) Seitz;6;7;7;7;1;4;2;3;7;0
Aconitum napellus subsp. lusitanicum Rouy;8;7;7;7;1;8;3;4;7;0
Aconitum napellus subsp. vulgare (DC.) Rouy & Foucaud;8;7;7;5;1;8;2;5;7;0
Aconitum variegatum L.;8;6;7;7;1;8;3;6;7;0
Aconitum variegatum L. subsp. variegatum;8;6;7;7;1;8;3;6;7;0
Aconitum variegatum subsp. paniculatum (Arcang.) Negodi;8;7;7;5;1;8;2;6;7;0
Aconitum variegatum subsp. pyrenaicum Vivant;8;7;7;5;1;8;2;6;7;0
Aconitum variegatum subsp. valesiacum (Gáyer) Greuter & Burdet;8;7;7;5;1;8;2;6;7;0
Acorus calamus L.;8;9;7;8;1;8;7;3;7;0
Actaea spicata L.;6;5;7;4;1;4;3;5;7;0
Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson;7;7;8;5;1;8;8;3;5;0
Adenocarpus complicatus (L.) J.Gay;3;4;3;8;5;4;8;3;4;0
Adenocarpus complicatus (L.) J.Gay subsp. complicatus;3;4;3;8;5;4;8;3;4;0
Adenocarpus complicatus subsp. parvifolius (DC.) García Adá, G.López & P.Vargas;3;4;4;8;4;4;7;3;3;0
Adenocarpus telonensis (Loisel.) DC.;3;4;4;8;4;4;8;3;3;0
Adenostyles alliariae (Gouan) A.Kern.;8;7;7;6;1;8;2;6;8;0
Adenostyles alpina (L.) Bluff & Fingerh.;6;6;7;6;2;3;2;5;7;0
Adenostyles alpina (L.) Bluff & Fingerh. subsp. alpina;6;6;7;6;2;3;2;5;7;0
Adenostyles alpina subsp. briquetii (Gamisans) Tutin;6;7;7;7;1;4;2;3;7;0
Adenostyles alpina subsp. pyrenaica (Lange) Dillenb. & Kadereit;8;7;7;6;1;8;2;4;8;0
Adenostyles leucophylla (Willd.) Rchb.;5;5;3;8;6;1;2;8;2;0
Adiantum capillus-veneris L.;8;7;6;3;9;1;8;3;5;0
Adonis aestivalis L.;3;4;8;8;3;2;6;6;5;0
Adonis aestivalis L. subsp. aestivalis;3;4;8;8;3;2;6;6;5;0
Adonis aestivalis subsp. squarrosa (Steven) Nyman;3;4;8;8;3;2;6;6;5;0
Adonis annua L.;3;4;7;8;3;2;6;5;6;0
Adonis flammea Jacq.;3;4;9;8;3;2;6;6;5;0
Adonis microcarpa DC. ;5;5;5;8;3;3;8;3;7;0
Adonis pyrenaica DC.;5;5;5;8;7;1;2;4;1;0
Adonis vernalis L.;3;3;7;7;3;2;6;6;2;0
Adoxa moschatellina L.;8;7;7;4;1;3;5;5;6;0
Aegilops bicornis Jaub. & Spach;1;1;7;9;4;2;9;6;5;0
Aegilops biuncialis Vis.;2;3;7;8;2;2;9;5;6;0
Aegilops cylindrica Host;1;1;7;9;4;2;9;6;5;0
Aegilops geniculata Roth;3;3;6;8;3;2;7;4;5;0
Aegilops juvenalis (Thell.) Eig;2;1;7;8;3;3;8;4;7;0
Aegilops ligustica (Savign.) Coss.;2;1;7;8;3;3;8;4;7;0
Aegilops neglecta Req. ex Bertol.;2;1;7;8;4;3;9;3;7;0
Aegilops speltoides Tausch;4;3;4;9;2;4;6;5;5;0
Aegilops triuncialis L.;2;1;7;8;4;3;9;3;7;0
Aegilops ventricosa Tausch;2;1;7;8;4;3;9;3;7;0
Aegopodium podagraria L.;5;5;7;5;2;3;4;5;7;0
Aeluropus littoralis (Gouan) Parl.;4;7;8;9;4;3;9;1;7;7
Aeonium haworthii Webb & Berthel. ;3;2;8;9;8;1;9;2;3;0
Aesculus carnea Hayne;6;5;5;7;3;3;6;4;7;0
Aesculus hippocastanum L.;6;5;5;7;3;3;6;4;7;0
Aethionema saxatile (L.) W.T.Aiton;5;5;8;8;6;1;2;4;3;0
Aethionema saxatile (L.) W.T.Aiton subsp. saxatile;5;5;8;8;6;1;2;4;3;0
Aethionema saxatile subsp. monospermum (R.Br.) P.Fourn.;5;5;8;8;6;1;2;4;3;0
Aethionema thomasianum J.Gay;5;5;8;7;6;1;2;8;3;0
Aethusa cynapium L.;5;5;8;7;3;2;4;4;7;0
Aethusa cynapium L. subsp. cynapium;5;5;8;7;3;2;4;4;7;0
Aethusa cynapium subsp. elata (Friedl.) Schübler & G.Martens;5;5;7;6;3;3;6;4;7;0
Agave americana L.;3;2;5;9;8;1;9;2;5;1
Agave salmiana Otto;3;2;5;9;8;1;9;2;5;1
Ageratina adenophora (Spreng.) R.M.King & H.Rob.;6;7;7;7;1;4;2;3;7;0
Agrimonia eupatoria L.;4;4;7;6;3;2;5;4;4;0
Agrimonia eupatoria L. subsp. eupatoria;4;4;7;6;3;2;5;4;4;0
Agrimonia eupatoria subsp. grandis (Andrz. ex Asch. & Graebn.) Bornm.;4;5;7;6;3;2;5;5;4;0
Agrimonia procera Wallr.;5;5;7;6;3;3;5;5;5;0
Agropyron cristatum (L.) Gaertn.;3;3;8;8;8;1;3;8;2;0
Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev;3;3;8;8;8;1;3;8;2;0
Agrostemma githago L. ;4;4;8;7;3;2;6;5;6;0
Agrostis × gigantifera Portal [Agrostis gigantea Roth x Agrostis stolonifera L.];;;;;;;;;;
Agrostis alpina Scop.;5;5;6;8;5;7;2;4;3;0
Agrostis canina L. ;8;8;3;7;2;9;5;5;2;0
Agrostis canina L. var. canina;8;8;3;7;2;9;5;5;2;0
Agrostis canina var. opulenta Portal;9;9;5;8;1;9;3;7;2;0
Agrostis capillaris L. ;5;5;4;7;4;3;5;4;4;0
Agrostis capillaris L. var. capillaris;5;5;4;7;4;3;5;4;4;0
Agrostis capillaris var. alpigena (Shur) Portal;7;5;4;8;4;4;3;7;5;0
Agrostis castellana Boiss. & Reut.;3;4;5;8;9;1;8;3;3;0
Agrostis castellana Boiss. & Reut. var. castellana;3;4;5;8;9;1;8;3;3;0
Agrostis castellana var. mutica (Boiss. & Reuter) Kerguélen ex Romero García, Blanca & C.Morales;5;5;2;9;5;5;6;2;2;0
Agrostis curtisii Kerguélen;4;4;2;8;4;5;6;3;2;0
Agrostis gigantea Roth;8;7;7;7;1;8;5;5;6;0
Agrostis hesperica Romero Garcia, Blanca López & Morales Torres;7;7;3;8;2;9;5;4;2;0
Agrostis marysae-tortiae Portal;5;5;4;7;4;5;2;4;3;0
Agrostis mertensii Trin.;6;5;6;9;5;1;2;5;1;0
Agrostis rupestris All. ;5;4;2;8;5;1;2;3;1;0
Agrostis rupestris All. var. rupestris;5;4;2;8;5;1;2;3;1;0
Agrostis rupestris var. alpinoides (Gamisans) Portal;5;4;2;8;5;1;2;3;1;0
Agrostis rupestris var. pyrenaica (Pourr.) Björkman;4;5;1;8;5;1;1;3;1;0
Agrostis scabra Willd.;5;5;7;7;2;1;6;4;7;0
Agrostis schleicheri Jord. & Verl.;6;6;7;8;5;3;1;6;3;0
Agrostis schraderiana Bech.;6;6;6;7;5;3;2;7;5;0
Agrostis stolonifera L. ;9;8;5;8;2;8;5;5;5;1
Agrostis stolonifera L. écoph. rhéophile;9;12;5;8;3;8;5;5;6;0
Agrostis stolonifera L. écoph. stagnophile;9;10;5;8;4;8;5;5;5;0
Agrostis stolonifera L. var. stolonifera;9;8;5;8;2;8;5;5;5;1
Agrostis stolonifera var. arenaria (Gouan) Dobignard & Portal;7;7;7;8;3;8;5;1;6;6
Agrostis vinealis Schreb.;2;3;2;8;5;1;4;4;1;0
Ailanthus altissima (Mill.) Swingle;4;5;5;8;3;3;6;5;8;0
Aira armoricana F.Albers;3;3;3;8;4;1;6;4;3;0
Aira caryophyllea L.;3;4;5;9;3;1;6;3;1;0
Aira cupaniana Guss. ;3;3;3;9;4;1;8;4;2;0
Aira elegantissima Schur;4;4;4;8;4;1;8;4;2;0
Aira multiculmis Dumort.;3;3;3;8;4;1;6;4;3;0
Aira praecox L.;2;2;2;9;4;1;6;3;1;0
Aira provincialis Jord.;4;4;4;8;4;1;8;4;2;0
Aira tenorei Guss.;4;4;4;8;4;1;8;4;3;0
Airopsis tenella (Cav.) Asch. & Graebn.;3;3;3;9;4;1;8;4;2;0
Ajuga chamaepitys (L.) Schreb. ;3;4;9;7;3;2;6;4;5;0
Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys;3;4;9;7;3;2;6;4;5;0
Ajuga genevensis L.;5;4;7;8;3;2;5;5;3;0
Ajuga iva (L.) Schreb.;3;3;8;8;3;2;8;3;3;0
Ajuga iva (L.) Schreb. var. iva;3;3;8;8;3;2;8;3;3;0
Ajuga iva var. pseudoiva (Robill. & Castagne ex DC.) Steud.;3;3;8;8;3;2;8;3;3;0
Ajuga pyramidalis L.;6;5;1;7;3;5;3;4;1;0
Ajuga pyramidalis L. var. pyramidalis;6;5;1;7;3;5;3;4;1;0
Ajuga reptans L.;6;5;5;5;2;3;5;5;6;0
Akebia quinata (Thunb. ex Houtt.) Decne.;7;7;7;5;2;8;6;3;7;0
Alcea biennis Winterl ;4;4;6;7;3;2;6;4;7;0
Alcea rosea L.;4;4;7;7;3;2;6;4;7;0
Alchemilla acutidens Buser;7;6;4;7;5;7;2;4;4;0
Alchemilla acutiloba Opiz;7;5;6;6;2;3;3;6;6;0
Alchemilla acutiloba var. micans (Buser) B.Bock;7;5;5;7;2;3;3;6;5;0
Alchemilla alpigena Buser;6;6;7;7;3;3;2;7;5;0
Alchemilla alpina L.;6;5;2;9;3;5;2;4;2;0
Alchemilla amphisericea Buser;6;5;8;8;3;2;3;7;3;0
Alchemilla cinerea Buser;6;5;7;8;3;7;2;7;2;0
Alchemilla colorata Buser;6;4;7;8;3;7;2;7;2;0
Alchemilla conjuncta Bab.;6;5;7;8;3;7;2;7;2;0
Alchemilla connivens Buser;6;5;7;7;3;2;3;7;2;0
Alchemilla coriacea Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla crinita Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla decumbens Buser;7;6;5;7;5;7;2;4;3;0
Alchemilla demissa Buser;8;7;5;7;5;7;2;4;3;0
Alchemilla effusa Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla exigua Buser ex Paulin;6;5;8;8;3;2;3;7;4;0
Alchemilla fallax Buser;6;5;6;8;3;7;2;7;2;0
Alchemilla filicaulis Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla filicaulis Buser f. filicaulis;9;8;4;8;2;9;3;5;4;0
Alchemilla filicaulis f. vestita Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla fissa Günther & Schummel;7;6;5;8;5;7;2;4;3;0
Alchemilla flabellata Buser;5;5;2;8;4;1;1;4;1;0
Alchemilla flexicaulis Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla frigens Buser ;7;6;7;8;5;7;2;8;3;0
Alchemilla fulgens Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla glabra Neygenf.;7;5;5;7;2;3;3;6;5;0
Alchemilla glaucescens Wallr.;6;5;4;7;3;5;3;4;3;0
Alchemilla glomerulans Buser;7;6;4;7;5;7;2;4;4;0
Alchemilla grenieri J.Guillot ;6;5;6;7;3;4;3;4;4;0
Alchemilla grossidens Buser;6;5;8;7;3;2;3;3;2;0
Alchemilla heteropoda Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla hoppeana (Rchb.) Dalla Torre;5;5;8;4;8;1;3;6;3;0
Alchemilla hybrida (L.) L.;7;6;5;7;2;8;2;4;5;0
Alchemilla incisa Buser;9;8;7;5;2;8;3;7;4;0
Alchemilla inconcinna Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla lapeyrousii Buser;6;5;4;7;3;5;3;4;3;0
Alchemilla lineata Buser;5;5;6;7;2;3;3;7;5;0
Alchemilla longana Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla mollis (Buser) Rothm.;9;8;5;7;2;7;6;4;6;0
Alchemilla monticola Opiz;7;5;5;6;2;3;3;6;5;0
Alchemilla obtusa Buser;7;6;4;7;5;7;2;4;4;0
Alchemilla pallens Buser;6;6;7;7;3;3;2;7;5;0
Alchemilla pentaphyllea L.;7;7;3;7;5;7;2;3;4;0
Alchemilla petiolulans Buser;6;5;8;8;7;7;2;7;2;0
Alchemilla plicata Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla reniformis Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla rhododendrophila Buser;8;6;6;7;1;8;2;6;6;0
Alchemilla saxatilis Buser;5;5;3;7;5;5;2;5;2;0
Alchemilla schmidelyana Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla sinuata Buser;5;5;6;7;2;3;3;7;5;0
Alchemilla splendens H.Christ ex Favrat;6;5;6;8;3;7;1;7;2;0
Alchemilla straminea Buser;9;8;4;8;2;9;3;5;4;0
Alchemilla strigosula Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla subcrenata Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla subsericea Reut.;6;5;4;8;3;5;2;4;3;0
Alchemilla tenuis Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla transiens (Buser) Buser;6;5;4;8;3;5;3;4;3;0
Alchemilla trunciloba Buser;5;5;6;7;2;3;3;7;6;0
Alchemilla undulata Buser;7;5;5;7;2;3;3;6;5;0
Alchemilla vetteri Buser;7;5;5;7;2;3;3;4;5;0
Alchemilla xanthochlora Rothm.;7;5;5;6;3;3;4;4;5;0
Aldrovanda vesiculosa L.;9;12;4;7;1;8;7;3;4;0
Alisma gramineum Lej.;9;9;5;8;2;9;6;5;4;0
Alisma gramineum Lej. écoph. submergé;9;11;4;7;1;9;5;5;2;0
Alisma lanceolatum With.;8;10;7;7;1;8;5;5;5;0
Alisma plantago-aquatica L.;8;9;7;7;1;8;5;5;7;0
Alkanna lutea Moris;5;4;3;5;8;1;9;1;4;1
Alkanna matthioli Tausch;4;3;7;9;5;1;9;1;3;1
Alliaria petiolata (M.Bieb.) Cavara & Grande;6;5;7;4;3;3;5;5;8;0
Alliaria petiolata (M.Bieb.) Cavara & Grande écoph. vivace;6;5;7;5;3;3;5;5;8;0
Allium acutiflorum Loisel.;4;4;8;7;3;2;8;3;4;0
Allium ampeloprasum L.;4;4;8;8;3;2;8;3;7;0
Allium angulosum L.;8;8;7;8;2;8;5;7;5;0
Allium carinatum L.;4;4;8;8;3;2;5;4;2;0
Allium cepa L.;5;5;5;8;4;3;6;8;7;0
Allium chamaemoly L.;4;4;8;7;3;2;8;3;4;0
Allium coloratum Spreng.;3;3;8;6;3;2;4;6;4;0
Allium commutatum Guss. ;3;3;8;9;5;1;9;1;3;0
Allium consimile Jord. ex Gren.;3;3;8;7;3;2;5;5;3;0
Allium corsicum Jauzein, J.M.Tison, Deschâtres & H.Couderc;3;5;7;9;5;1;9;1;5;4
Allium cyrilli Ten.;4;4;7;8;3;2;8;3;7;0
Allium ericetorum Thore;8;6;4;8;3;9;6;3;4;0
Allium fistulosum L.;4;4;7;9;3;2;7;4;8;0
Allium flavum L.;3;4;8;9;3;2;7;3;3;0
Allium flexum Waldst. & Kit.;6;5;7;7;3;2;4;5;7;0
Allium lineare L.;4;4;6;9;5;2;2;8;1;0
Allium longispathum D.Delaroche;4;4;8;8;3;2;7;4;7;0
Allium lusitanicum Lam.;4;3;6;9;3;3;2;5;2;0
Allium moly L.;3;4;8;9;3;2;7;3;3;0
Allium moschatum L.;4;4;8;7;3;2;8;3;4;0
Allium narcissiflorum Vill.;5;5;8;7;6;1;2;7;3;0
Allium neapolitanum Cirillo;3;4;8;8;3;2;8;3;7;0
Allium nigrum L.;3;4;8;8;3;2;8;3;7;0
Allium oleraceum L. ;4;4;7;7;3;2;6;5;4;0
Allium oporinanthum Brullo, Pavone & Salmeri ;3;3;8;5;8;1;5;3;3;0
Allium paniculatum L.;4;5;7;8;2;2;6;3;4;0
Allium parciflorum Viv.;4;4;8;7;3;2;8;2;4;0
Allium pendulinum Ten.;4;4;8;8;3;2;8;3;7;0
Allium polyanthum Schult. & Schult.f.;5;5;8;7;3;2;8;3;5;0
Allium porrum L.;6;5;5;8;2;3;6;5;8;0
Allium roseum L.;4;4;8;7;3;2;8;4;7;0
Allium rotundum L.;4;4;8;7;4;2;6;5;5;0
Allium sativum L. ;4;5;8;7;2;2;5;5;7;0
Allium savii Parl.;7;7;8;8;4;1;9;1;4;1
Allium scaberrimum J.Serres;3;4;8;7;3;2;8;3;7;0
Allium schoenoprasum L.;6;6;6;7;2;3;5;5;6;0
Allium scorodoprasum L. ;4;5;7;7;2;2;6;5;7;0
Allium siculum Ucria;5;5;4;8;3;4;8;3;4;0
Allium sphaerocephalon L. ;3;4;8;9;9;1;5;5;3;0
Allium sphaerocephalon L. subsp. sphaerocephalon;3;4;8;9;9;1;5;5;3;0
Allium sphaerocephalon L. subsp. sphaerocephalon var. sphaerocephalon ;3;4;8;9;9;1;5;5;3;0
Allium sphaerocephalon subsp. sphaerocephalon var. deseglisei (Boreau) Martrin-Donos;3;4;8;9;8;1;5;5;3;0
Allium strictum Schrad.;4;3;7;7;3;2;4;5;3;0
Allium suaveolens Jacq.;7;7;7;8;1;9;5;7;3;0
Allium subhirsutum L.;4;4;8;8;3;2;8;3;7;0
Allium tenuiflorum Ten.;3;3;8;8;7;1;8;2;3;0
Allium trifoliatum Cirillo;3;4;8;7;3;2;8;3;7;0
Allium triquetrum L.;5;4;8;6;2;3;8;3;8;0
Allium ursinum L. ;8;7;8;4;1;3;5;4;7;0
Allium victorialis L.;5;5;5;8;4;4;2;5;5;0
Allium vineale L.;4;5;7;7;3;3;5;5;7;0
Alnus alnobetula (Ehrh.) K.Koch ;7;6;5;7;3;3;3;5;7;0
Alnus alnobetula (Ehrh.) K.Koch subsp. alnobetula;7;6;5;7;3;3;3;5;7;0
Alnus alnobetula subsp. suaveolens (Req.) Lambinon & Kerguélen;7;6;5;7;3;3;3;3;7;0
Alnus cordata (Loisel.) Duby;7;7;7;8;2;3;7;4;7;0
Alnus glutinosa (L.) Gaertn.;8;9;5;7;1;9;5;5;5;1
Alnus incana (L.) Moench ;8;7;7;7;1;8;3;6;6;0
Alnus incana (L.) Moench subsp. incana;8;7;7;7;1;8;3;6;6;0
Aloe arborescens Mill. ;3;2;8;9;8;1;9;1;5;1
Aloe maculata All.;4;2;5;9;8;1;9;1;5;1
Alopecurus aequalis Sobol.;9;8;5;8;3;8;4;5;5;0
Alopecurus arundinaceus Poir.;8;8;6;8;2;8;6;4;6;0
Alopecurus bulbosus Gouan;7;8;7;8;2;8;7;3;6;3
Alopecurus geniculatus L.;9;8;5;8;4;8;5;5;5;0
Alopecurus gerardi Vill.;5;5;3;8;3;4;2;4;2;0
Alopecurus myosuroides Huds.;5;5;6;8;2;2;5;5;7;0
Alopecurus pratensis L. ;7;7;6;7;2;8;5;5;7;0
Alopecurus pratensis L. subsp. pratensis;7;7;6;7;2;8;5;5;7;0
Alopecurus rendlei Eig;8;7;7;8;3;8;7;3;6;2
Alternanthera caracasana Kunth;3;5;4;7;5;3;7;5;4;0
Alternanthera philoxeroides (Mart.) Griseb.;9;9;6;8;1;8;6;4;6;0
Althaea cannabina L.;4;5;6;8;4;2;6;4;7;0
Althaea officinalis L.;7;7;8;7;1;8;6;3;5;2
Althenia filiformis Petit;9;12;8;8;4;8;9;2;6;8
Althenia orientalis (Tzvelev) Garcia-Mur. & Talavera ;9;12;8;8;4;8;9;2;6;8
Alyssoides utriculata (L.) Medik.;4;5;7;8;8;1;2;4;2;0
Alyssum alpestre L.;5;5;8;8;7;1;1;5;3;0
Alyssum alyssoides (L.) L.;3;3;8;9;3;2;6;4;1;0
Alyssum corsicum Duby;2;1;7;8;4;1;8;3;6;0
Alyssum cuneifolium Ten.;5;5;8;8;7;1;1;4;3;0
Alyssum gmelinii Jord. & Fourr.;3;4;3;8;9;1;6;4;2;0
Alyssum linifolium Stephan ex Willd.;3;3;7;8;3;2;6;4;2;0
Alyssum loiseleurii P.Fourn.;4;3;6;8;4;1;6;1;3;1
Alyssum montanum L.;2;4;7;9;8;1;6;5;1;0
Alyssum orophilum Jord. & Fourr.;6;5;7;8;3;7;2;9;2;0
Alyssum robertianum Bernard, Godr. & Gren.;4;2;4;8;5;1;2;3;4;0
Alyssum scutigerum Durieu;4;4;7;8;3;2;8;3;2;0
Alyssum serpyllifolium Desf. ;3;3;8;8;4;1;3;4;2;0
Alyssum simplex Rudolphi;3;4;6;8;3;2;7;4;3;0
Amaranthus albus L.;3;4;7;8;3;3;8;6;7;1
Amaranthus blitoides S.Watson;3;4;7;9;3;3;7;6;8;0
Amaranthus blitum L.;3;4;7;8;3;3;7;4;8;0
Amaranthus blitum L. subsp. blitum;3;4;7;8;3;3;7;4;8;0
Amaranthus blitum subsp. emarginatus (Salzm. ex Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol;6;6;5;8;3;3;5;5;8;0
Amaranthus caudatus L.;3;4;8;8;3;3;8;4;8;0
Amaranthus deflexus L.;4;4;7;8;3;3;7;5;7;0
Amaranthus graecizans L.;5;5;8;8;3;3;6;5;7;0
Amaranthus graecizans subsp. silvestris (Vill.) Brenan;3;4;9;9;3;3;8;4;8;0
Amaranthus hybridus L. ;3;4;7;8;3;3;8;5;7;1
Amaranthus hybridus L. subsp. hybridus ;3;4;7;8;3;3;8;5;7;1
Amaranthus hybridus L. subsp. hybridus var. hybridus;3;4;7;8;3;3;8;5;7;1
Amaranthus hybridus subsp. bouchonii (Thell.) O.Bolòs & Vigo;3;4;7;8;3;3;8;5;7;0
Amaranthus hybridus subsp. cruentus (L.) Thell.;3;4;9;8;3;3;8;4;8;0
Amaranthus hybridus subsp. hybridus var. erythrostachys Moq.;5;5;8;8;3;3;6;5;7;0
Amaranthus hybridus subsp. hybridus var. pseudoretroflexus (Thell.) Carretero;3;4;8;8;3;3;7;5;6;1
Amaranthus muricatus (Gillies ex Moq.) Hieron.;4;4;7;8;3;3;7;5;7;0
Amaranthus retroflexus L.;3;4;7;8;3;3;7;5;7;1
