F0101;Glaciers blancs, noirs et pierreux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0210;Corniches calcaires ombragées et moussues à polypode austral (Polypodium cambricum) sous climats méditerranéen à supraméditerranéen;Amelanchier ovalis;Asplenium ceterach;Asplenium fontanum;Asplenium trichomanes;Buxus sempervirens;Geranium lucidum;Geranium purpureum;Hedera helix;Juniperus phoenicea;Melica amethystina;Polypodium cambricum;Pseudoturritis turrita;Sedum dasyphyllum;Umbilicus rupestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0211;Corniches siliceuses ombragées et moussues à polypodes (Polypodium spp.) sous climat méditerranéen à supraméditerranéen;Asplenium adiantum-nigrum;Asplenium trichomanes subsp. pachyrachis;Geranium robertianum;Hedera helix;Poa nemoralis;Polypodium cambricum;Polypodium interjectum;Polypodium vulgare;Polypodium X mantoniae;Polystichum setiferum;Umbilicus rupestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0212;Vieux murs avec végétation méridionale à pariétaire de Judée (Parietaria judaica);Arabis caucasica;Asplenium ceterach;Asplenium ruta-muraria;Asplenium trichomanes subsp. quadrivalens;Aubrietia deltoidea;Centranthus ruber;Chelidonium majus;Clematis vitalba;Cymbalaria muralis;Erysimum cheir;Ficus carica;Geranium purpureum;Geranium rotundifolium;Hedera helix;Helichrysum stoechas;Hornungia petraea;Parietaria judaica;Rubia peregrina;Sedum album;Sedum dasyphyllum;Sedum sediforme;Teucrium polium;Thymus vulgaris;Umbilicus rupestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0213;Vieux murs avec végétation médio-européenne à cymbalaire des murs (Cymbalaria muralis) et à doradille rue-des-murailles (Asplenium ruta-muraria);Alliaria petiolata;Arabidopsis thaliana;Asplenium ceterach;Asplenium ruta-muraria;Asplenium trichomanes subsp. quadrivalens;Asplenium trichomanes subsp. trichomanes;Campanula rotundifolia;Cardamine hirsuta;Chelidonium majus;Cymbalaria muralis;Draba muralis;Erysimum cheir;Geranium robertianum;Hedera helix;Hylotelephium maximum;Lactuca muralis;Mercurialis annua;Parietaria judaica;Parietaria officinalis;Parthenocissus inserta;Poa nemoralis;Pseudofumaria alba;Pseudofumaria lutea;Saxifraga tridactylites;Sedum album;Sedum dasyphyllum;Urtica dioica;Valerianella locusta;Veronica hederifolia;Veronica polita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0301;Pelouses pionnières vivaces des dalles et replats rocheux calcaires méditerranéens à supraméditerranéens;Aethionema saxatile;Argyrolobium zanonii;Avenula bromoides;Bombycilaena erecta;Centranthus calcitrapae;Cerastium pumilum;Crepis suffreniana;Dipcadi serotinum;Euphorbia characias;Fumana ericifolia;Galium corrudifolium;Helianthemum hirtum;Helictochloa bromoides;Lactuca perennis;Melica ciliata;Minuartia mediterranea;Ononis minutissima;Petrorhagia prolifera;Poa bulbosa;Saxifraga tridactylites;Sedum acre;Sedum album;Sedum ochroleucum;Sedum sediforme;Sempervivum calcareum;Teucrium aureum;Teucrium chamaedrys;Teucrium polium;Thymus vulgaris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0302;Pelouses pionnières principalement vivaces à orpins (Sedum spp.) des dalles et replats rocheux calcaires médio-européens de basse et moyenne altitudes;Allium lusitanicum;Allium sphaerocephalon;Alyssum alyssoides;Arabis auriculata;Arenaria leptoclados;Arenaria serpyllifolia;Bombycilaena erecta;Bupleurum baldense;Cerastium arvense subsp. strictum;Cerastium pumilum;Clinopodium acinos;Clypeola jonthlaspi;Dianthus saxicola;Draba verna;Euphorbia exiqua;Euphorbia seguieriana;Festuca laevigata;Festuca longifolia;Festuca marginata;Helianthemum apenninum;Holosteum umbellatum;Hornugia petraea;Hornungia petraea;Linum catharticum;Lysimachia arvensis;Medicago minima;Minuartia hybrida;Minuartia rostrata;Minuartia rubra;Minuartia verna;Myosotis minutiflora;Poa alpina;Poa badensis;Poa bulbosa;Potentilla verna;Prospero autumnale;Saxifraga tridactylites;Sedum acre;Sedum album;Sedum ochroleucum;Sedum sexangulare;Teucrium botrys;Teucrium chamaedrys;Trifolium scabrum;Veronica praecox;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0303;Pelouses pionnières principalement vivaces à orpins (Sedum spp.) des dalles et replats rocheux calcaires de montagne;Allium lusitanicum;Alyssum alyssoides;Alyssum montanum;Arenaria serpyllifolia;Astragalus depressus;Bombycilaena erecta;Carex liparocarpos;Cerastium pumilum;Clinopodium acinos;Draba verna;Holosteum umbellatum;Hornungia petraea;Medicago minima;Minuartia rostrata;Minuartia rubra;Myosotis minutiflora;Odontites luteus;Petrorhagia prolifera;Petrorhagia saxifraga;Poa bulbosa;Poa perconcinna;Potentilla neglecta;Potentilla puberula;Potentilla verna;Saxifraga tridactylites;Sedum acre;Sedum album;Sedum montanum;Sedum sexangulare;Sempervivum arachnoideum;Teucrium botrys;Veronica arvensis;Veronica praecox;Veronica verna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0304;Pelouses pionnières vivaces à orpins (Sedum spp.) et à joubarbes (Sempervivum spp.) des dalles et replats rocheux siliceux de montagne;Allium sphaerocephalon;Allium strictum;Alyssoides utriculata;Arenaria serpyllifolia;Asplenium septentrionale;Atocion rupestre;Dianthus saxicola;Drymocallis rupestris;Festuca acuminata;Gagea bohemica;Iris perrieri;Minuartia laricifolia subsp. laricifolia;Petrorhagia saxifraga;Plantago holosteum;Plantago maritima subsp. serpentina;Poa bulbosa;Poa perconcinna;Potentilla neglecta;Potentilla verna;Scleranthus perennis;Sedum album;Sedum alpestre;Sedum annuum;Sedum montanum;Sedum rupestre;Sempervivum arachnoideum;Sempervivum montanum;Sempervivum tectorum;Teucrium chamaedrys;Thymus pulegioides;Trifolium arvense;Veronica fruticans;Veronica verna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0305;Pelouses pionnières principalement vivaces à orpins (Sedum spp.) des dalles et replats rocheux siliceux de basse et moyenne altitudes;Aira praecox;Arabidopsis thaliana;Arenaria serpyllifolia;Brachypodium rupestre;Calluna vulgaris;Cerastium pumilum;Cistus salviifolius;Draba muralis;Festuca arvernensis;Festuca marginata;Filago germanica;Filago lutescens;Gagea bohemica;Herniaria glabra;Holosteum umbellatum;Hylotelephium maximum;Hypochaeris glabra;Logfia minima;Mibora minima;Micropyrum tenellum;Myosotis stricta;Ornithopus perpusillus;Petrorhagia prolifera;Phleum phleoides;Poa bulbosa;Potentilla verna;Prospero autumnale;Ranunculus paludosus;Rumex acetosella;Scleranthus perennis;Sedum acre;Sedum album;Sedum hirsutum;Sedum rubens;Sedum rupestre;Sedum sexangulare;Sempervivum tectorum;Spergula pentandra;Teesdalia nudicaulis;Teucrium chamaedrys;Trifolium arvense;Trifolium striatum;Veronica dillenii;Veronica verna;Vulpia myuros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0401;Débris et éboulis calcaires très fins de haute altitude;Achillea nana;Androsace alpina;Arabis caerulea;Artemisia genipi;Bistorta vivipara;Campanula cenisia;Carex myosuroides;Carex parviflora;Cerastium latifolium;Comastoma tenellum;Crepis rhaetica;Draba fladnizensis;Draba hoppeana;Festuca pumila;Gentiana orbicularis;Gentiana schleicheri;Geum reptans;Herniaria alpina;Minuartia sedoides;Minuartia verna;Petrocallis pyrenaica;Poa alpina;Ranunculus glacialis;Ranunculus parnassifolius;Salix serpyllifolia;Saxifraga biflora;Saxifraga muscoides;Saxifraga oppositifolia;Trisetum spicatum:subsp. ovatipaniculatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
